Código,Nome,Município,Área,Total de Famílias,Total Famílias 2,Fase,Tipo,Número,Data da Criação,Obtenção,Data da Obtenção,Município IBGE
MT0002009,PAR GLEBA CAFEZAL,COLIDER,"20.000,00",600,900,7,10,1,12/10/1980,Discriminação,12/10/1980,Colíder
MT0011000,PAC PEIXOTO DE AZEVEDO,NOVO MUNDO,"120.000,00",1279,1600,7,1,132,27/08/1979,Arrecadação,03/03/1980,Novo Mundo
MT0012000,PAC CARLINDA,ALTA FLORESTA,"89.986,00",1308,1386,6,15,21,24/02/1981,Arrecadação,24/02/1981,Alta Floresta
MT0013000,PA BRAÇO SUL,GUARANTA DO NORTE,"115.050,00",1866,2530,7,1,52,30/03/1981,Arrecadação,30/03/1981,Guarantã Do Norte
MT0014000,PA CAPÃO VERDE,ALTO PARAGUAI,"5.806,77",163,169,7,1,316,05/06/1986,Desapropriação,05/02/1985,Alto Paraguai
MT0015000,PA TUPÃ,CURVELANDIA,"2.866,56",113,126,7,1,486,08/08/1986,Desapropriação,05/06/1984,Curvelândia
MT0016000,PA MORRINHO,GENERAL CARNEIRO,"2.149,85",29,28,6,1,487,08/08/1986,Arrecadação,07/05/1981,General Carneiro
MT0017000,PA SARARÉ,NOVA LACERDA,"18.131,70",256,266,6,1,965,11/12/1986,Desapropriação,25/02/1986,Nova Lacerda
MT0018000,PA 1.500 ALQUEIRES,PONTES E LACERDA,"3.630,00",69,78,7,1,964,11/12/1986,Desapropriação,18/12/1985,Pontes E Lacerda
MT0019000,PA NOVA ALVORADA,COMODORO,"7.870,00",94,123,7,1,979,17/12/1986,Arrecadação,16/05/1986,Comodoro
MT0020000,PA PAPIRO,PORTO ESPERIDIAO,"1.126,01",30,30,3,1,84,29/01/1987,Desapropriação,25/10/1985,Porto Esperidião
MT0021000,PA NOVO MÉXICO,COLIDER,"9.880,61",182,195,7,1,82,29/01/1987,Desapropriação,13/08/1984,Colíder
MT0022000,PA CORONEL ARI,PONTES E LACERDA,"7.500,00",135,200,5,1,291,01/04/1987,Desapropriação,26/06/1986,Pontes E Lacerda
MT0023000,PA CANA BRAVA,CANABRAVA DO NORTE,"35.467,87",444,465,6,1,293,01/04/1987,Desapropriação,12/07/1984,Canabrava Do Norte
MT0025000,PA HIJ,TERRA NOVA DO NORTE,"21.182,40",357,357,7,1,405,21/05/1987,Arrecadação,16/01/1979,Terra Nova Do Norte
MT0026000,PA ETA,PEIXOTO DE AZEVEDO,"22.674,10",303,325,3,1,404,21/05/1987,Arrecadação,11/03/1987,Peixoto De Azevedo
MT0027000,PA TIRA SENTIDO,ALTO PARAGUAI,"6.262,79",117,118,7,1,458,28/05/1987,Desapropriação,18/12/1986,Alto Paraguai
MT0028000,PA JATOBAZINHO,,"15.033,46",219,229,3,1,457,28/05/1987,Desapropriação,16/12/1986,#N/A
MT0029000,PA FORMOSA,VILA BELA DA SANTISSIMA TRINDADE,"13.327,05",216,241,7,1,456,28/05/1987,Desapropriação,27/07/1986,Vila Bela Da Santíssima Trindade
MT0030000,PA GATO PRETO,ALTO ARAGUAIA,"7.523,32",88,88,3,1,455,28/05/1987,Desapropriação,26/06/1986,Alto Araguaia
MT0031000,PA SAFRA,NOVA XAVANTINA,"29.417,33",358,359,3,1,454,28/05/1987,Desapropriação,25/09/1986,Nova Xavantina
MT0034000,PA AYMORÉ,SAO JOSE DO XINGU,"5.827,68",68,72,3,1,697,14/08/1987,Desapropriação,14/08/1987,São José Do Xingu
MT0035000,PA CRUZEIRO DO NORTE,RIBEIRAO CASCALHEIRA,"4.964,73",56,56,3,1,696,14/08/1987,Desapropriação,14/08/1987,Ribeirão Cascalheira
MT0036000,PA JANDIRA,AGUA BOA,"9.167,71",144,150,6,1,695,14/08/1987,Desapropriação,24/08/1987,Água Boa
MT0037000,PA MARAGATOS,NOVA NAZARE,"2.482,02",40,41,3,1,694,14/08/1987,Desapropriação,29/01/1987,Nova Nazaré
MT0039000,PA ILHA DO COCO,NOVA XAVANTINA,"2.852,33",28,43,6,1,691,14/08/1987,Desapropriação,26/09/1986,Nova Xavantina
MT0040000,PA RIBERÃO DOS COCAIS,NOSSA SENHORA DO LIVRAMENTO,"1.532,03",51,58,6,1,689,14/08/1987,Desapropriação,12/11/1986,Nossa Senhora Do Livramento
MT0041000,PA MELLO,NOVA XAVANTINA,"2.313,97",29,29,7,1,688,14/08/1987,Desapropriação,25/09/1986,Nova Xavantina
MT0042000,PA MONTECHI,RIO BRANCO,"2.691,71",104,117,5,1,728,19/08/1987,Desapropriação,07/01/1987,Rio Branco
MT0043000,PA VINAGRE LOTE 31,PLANALTO DA SERRA,948,12,17,3,1,813,17/09/1987,Desapropriação,12/11/1986,Planalto Da Serra
MT0044000,PA CRUZEIRO DO SUL,NOVA CANAA DO NORTE,"2.416,26",51,55,6,1,805,17/09/1987,Desapropriação,26/09/1986,Nova Canaã Do Norte
MT0045000,PA LIBERDADE,PORTO ALEGRE DO NORTE,"6.430,26",263,861,5,1,811,17/09/1987,Arrecadação,31/12/1984,Porto Alegre Do Norte
MT0046000,PA SERRA NOVA I,BOM JESUS DO ARAGUAIA,"2.450,35",43,43,4,1,834,24/09/1987,Arrecadação,31/12/1984,Bom Jesus Do Araguaia
MT0047000,PA MIRASSOLZINHO,JAURU,"20.488,00",724,732,3,1,341,23/03/1988,Compra e Venda,30/08/1987,Jauru
MT0048000,PA PRESIDENTE,SANTA TEREZINHA,"39.416,91",309,261,4,1,336,23/03/1988,Desapropriação,22/12/1986,Santa Terezinha
MT0049000,PA RIO VERMELHO,RONDONOPOLIS,"7.710,43",279,305,3,1,335,23/03/1988,Desapropriação,26/06/1987,Rondonópolis
MT0050000,PA SERRAGEM,NOBRES,"1.043,00",67,73,3,1,1363,06/10/1988,Desapropriação,02/05/1986,Nobres
MT0051000,PA JACARÉ VALENTE,CONFRESA,"25.062,88",389,317,3,1,58,20/10/1989,Desapropriação,13/01/1989,Confresa
MT0052000,PA CANTA GALO,CONFRESA,"31.444,04",444,589,5,1,57,20/10/1989,Desapropriação,11/10/1989,Confresa
MT0053000,PA COQUEIRAL/QUEBÓ,NOBRES,"50.409,76",571,728,3,1,525,13/06/1990,Desapropriação,01/01/1988,Nobres
MT0054000,PA NOROAGRO,COMODORO,"16.008,00",252,280,6,1,31,11/07/1991,Compra e Venda,23/11/1988,Comodoro
MT0055000,PA VOLTA GRANDE,ARAGUAIANA,"1.536,15",34,35,3,1,70,03/09/1991,Desapropriação,05/07/1986,Araguaiana
MT0056000,PA MIRANDA ESTÂNCIA,COMODORO,"18.402,00",308,330,5,1,13,27/02/1992,Compra e Venda,23/11/1988,Comodoro
MT0057000,PA PERSEVERANÇA PACUTINGA,COLNIZA,"17.700,74",320,346,6,1,85,10/06/1992,Doação,22/04/1991,Colniza
MT0058000,PA TIBAGI,BRASNORTE,"110.491,38",1584,1600,3,1,403,30/12/1992,Desapropriação,19/02/1986,Brasnorte
MT0059000,PA COTRIGUAÇU (CEDERES),COTRIGUACU,"11.359,00",207,226,4,1,408,30/12/1992,Compra e Venda,30/01/1992,Cotriguaçu
MT0060000,PA ELDORADO I,TAPURAH,"34.047,00",351,351,7,1,75,12/08/1993,Compra e Venda,06/07/1993,Tapurah
MT0061000,PA PIAU,NOVA XAVANTINA,"7.546,97",104,107,7,1,303,12/11/1992,Compra e Venda,11/12/1991,Nova Xavantina
MT0062000,PA TRIANGULO,TANGARA DA SERRA,"2.767,09",126,139,3,1,137,28/01/1994,Desapropriação,28/01/1994,Tangará Da Serra
MT0063000,PA SERRINHA,AGUA BOA,"9.916,56",36,158,3,1,238,24/09/1992,Desapropriação,18/03/1987,Água Boa
MT0064000,PA COUTINHO UNIÃO,QUERENCIA,"15.742,34",172,172,7,1,7,10/01/1995,Desapropriação,26/10/1993,Querência
MT0065000,PA FICA FACA,NOVA BRASILANDIA,"7.416,48",81,116,3,1,8,10/01/1995,Desapropriação,01/04/1988,Nova Brasilândia
MT0066000,PA PONTAL,NOVA NAZARE,"9.356,76",121,130,7,1,9,10/01/1995,Desapropriação,02/10/1989,Nova Nazaré
MT0067000,PA PIRACICABA,CONFRESA,"22.863,75",217,247,6,1,10,10/01/1995,Desapropriação,16/11/1985,Confresa
MT0068000,PA AZULONA GAMELEIRA,SAO FELIX DO ARAGUAIA,"27.583,02",131,1139,7,1,11,10/01/1995,Desapropriação,17/05/1984,São Félix Do Araguaia
MT0069000,PA SANTO ANTONIO DA MATA AZUL,NOVO SANTO ANTONIO,"99.528,55",628,594,5,1,12,10/01/1995,Desapropriação,24/02/1981,Novo Santo Antônio
MT0070000,PA MARTINS I,AGUA BOA,"3.843,78",49,54,7,1,13,10/01/1995,Arrecadação,17/02/1987,Água Boa
MT0071000,PA GRANJA,COMODORO,"3.528,00",109,117,3,1,29,23/02/1995,Desapropriação,12/12/1989,Comodoro
MT0072000,PA BANDEIRANTES,ALTO BOA VISTA,"10.786,04",123,139,6,1,30,23/02/1995,Desapropriação,23/02/1987,Alto Boa Vista
MT0073000,PA XAVANTE FIGURA A,CONFRESA,"8.276,27",99,100,3,1,61,19/07/1995,Arrecadação,27/12/1983,Confresa
MT0074000,PA CHAPADINHA,SAO FELIX DO ARAGUAIA,"33.035,93",133,216,5,1,88,06/10/1995,Desapropriação,28/12/1983,São Félix Do Araguaia
MT0075000,PA FARTURA,CONFRESA,"32.249,29",450,500,6,1,62,02/08/1995,Desapropriação,20/12/1993,Confresa
MT0076000,PA BOJUI,DIAMANTINO,"15.368,71",281,276,3,1,63,11/08/1995,Desapropriação,22/07/1994,Diamantino
MT0077000,PA NOVA COTRIGUAÇU,COTRIGUACU,"99.988,50",1189,1502,6,1,84,22/09/1995,Compra e Venda,18/03/1992,Cotriguaçu
MT0078000,PA NOVO HORIZONTE,NOVA GUARITA,"1.217,50",43,43,7,1,66,15/08/1995,Desapropriação,05/07/1989,Nova Guarita
MT0079000,PA AVAÍ,NOVA CANAA DO NORTE,"6.263,47",112,118,6,1,67,15/08/1995,Desapropriação,05/11/1986,Nova Canaã Do Norte
MT0080000,PA RONCADOR,SERRA NOVA DOURADA,"12.727,23",139,128,3,1,70,15/08/1995,Desapropriação,29/10/1984,Serra Nova Dourada
MT0081000,PA MANAH,CANABRAVA DO NORTE,"8.648,90",137,1133,6,1,69,15/08/1995,Desapropriação,06/12/1994,Canabrava Do Norte
MT0082000,PA MACIFE,RIBEIRAO CASCALHEIRA,"103.411,38",1140,3580,3,1,68,15/08/1995,Desapropriação,17/08/1993,Ribeirão Cascalheira
MT0083000,PA SERRA NOVA II,SERRA NOVA DOURADA,"10.605,75",85,114,4,1,89,06/10/1995,Arrecadação,31/12/1984,Serra Nova Dourada
MT0084000,PA RANCHO AMIGO,NOVA XAVANTINA,"8.223,38",117,125,3,1,75,01/09/1995,Desapropriação,21/06/1994,Nova Xavantina
MT0085000,PA CARNAÚBA,SAO FELIX DO ARAGUAIA,"13.114,00",98,130,3,1,85,27/09/1995,Desapropriação,19/12/1989,São Félix Do Araguaia
MT0086000,PA CRISTO REI,NOVA GUARITA,"1.644,89",34,34,6,1,96,27/11/1995,Arrecadação,16/01/1979,Nova Guarita
MT0087000,PA UNIÃO DE TODOS,TERRA NOVA DO NORTE,"4.796,98",105,107,7,1,87,27/09/1995,Arrecadação,16/01/1979,Terra Nova Do Norte
MT0088000,PA COTREL,NOVO MUNDO,"10.216,37",120,130,4,1,86,27/09/1995,Arrecadação,03/03/1980,Novo Mundo
MT0089000,PA PIRAPUTANGA,DIAMANTINO,"945,5759",9,9,6,1,108,14/12/1995,Arrecadação,17/01/1983,Diamantino
MT0090000,PA PRAIA RICA,CHAPADA DOS GUIMARAES,"4.065,00",43,45,3,1,102,06/12/1995,Desapropriação,08/11/1994,Chapada Dos Guimarães
MT0100000,PA VOLTINHA,PORTO ESTRELA,600,32,33,3,1,93,27/11/1995,Desapropriação,11/10/1983,Porto Estrela
MT0101000,PA VÃO GRANDE,PORTO ESTRELA,900,28,28,3,1,94,27/11/1995,Arrecadação,11/10/1983,Porto Estrela
MT0102000,PA OLARIA,SAO FELIX DO ARAGUAIA,"2.540,00",46,101,3,1,92,27/11/1995,Desapropriação,19/12/1989,São Félix Do Araguaia
MT0103000,PA CÓRREGO DA ONÇA,PONTES E LACERDA,"1.578,00",81,82,7,1,91,27/11/1995,Desapropriação,27/07/1986,Pontes E Lacerda
MT0104000,PA CORGÃO,JAURU,"5.002,00",154,160,5,1,95,27/11/1995,Desapropriação,01/12/1995,Jauru
MT0105000,PA MIRASSOLZINHO II,JAURU,"2.050,00",72,71,3,1,113,19/12/1995,Arrecadação,09/08/1988,Jauru
MT0106000,PA COLONIA DOS MINEIROS,COMODORO,"4.654,76",106,106,6,1,97,02/12/1996,Desapropriação,24/03/1995,Comodoro
MT0107000,PA SÃO LUIZ,CACERES,"4.033,74",26,29,4,1,105,14/12/1995,Arrecadação,25/01/1994,Cáceres
MT0108000,PA PROVIDÊNCIA - I,MIRASSOL D'OESTE,"3.983,00",67,68,6,1,106,14/12/1995,Desapropriação,25/01/1985,Mirassol D'oeste
MT0109000,PA PROVIDÊNCIA III,CURVELANDIA,"1.528,69",74,75,7,1,112,19/12/1995,Desapropriação,25/10/1985,Curvelândia
MT0110000,PA NOVA CONQUISTA,CONQUISTA D'OESTE,"13.936,00",390,398,5,1,111,14/12/1995,Desapropriação,11/11/1994,Conquista D'oeste
MT0111000,PA BONJAGUÁ,MARCELANDIA,"11.749,16",375,375,6,1,107,14/12/1995,Desapropriação,20/12/1994,Marcelândia
MT0112000,PA SANTA IZABEL,NOVA GUARITA,"643,7129",30,34,5,1,109,14/12/1995,Arrecadação,02/01/1995,Nova Guarita
MT0113000,PA CONFRESA/RONCADOR,CONFRESA,"93.960,77",1145,2076,6,1,103,06/12/1995,Desapropriação,06/12/1995,Confresa
MT0114000,PA SERRA NEGRA,NOVA GUARITA,"1.659,78",31,31,5,1,110,14/12/1995,Arrecadação,02/01/1995,Nova Guarita
MT0115000,PA CABIXI,COMODORO,"6.700,00",43,55,5,1,114,19/12/1995,Arrecadação,21/08/1987,Comodoro
MT0116000,PA OURO BRANCO,NOVA CANAA DO NORTE,"5.488,86",97,105,5,1,115,19/12/1995,Arrecadação,05/12/1984,Nova Canaã Do Norte
MT0117000,PA MONTE DAS OLIVEIRAS,NOVA CANAA DO NORTE,"3.024,40",59,59,3,1,116,19/12/1995,Arrecadação,05/12/1988,Nova Canaã Do Norte
MT0118000,PA BELA VISTA,NOVO MUNDO,"8.549,75",101,130,3,1,135,29/12/1995,Arrecadação,03/03/1980,Novo Mundo
MT0119000,PA MARIA TEREZA,RIBEIRAO CASCALHEIRA,"21.582,31",222,214,6,1,134,29/12/1995,Desapropriação,24/03/1995,Ribeirão Cascalheira
MT0120000,PA PORTO ESPERANÇA,CONFRESA,"4.183,84",60,64,7,1,133,29/12/1995,Desapropriação,24/03/1985,Confresa
MT0121000,PA INDEPENDENTE II,CONFRESA,"8.892,96",109,115,3,1,132,29/12/1995,Desapropriação,29/12/1995,Confresa
MT0122000,PA MACIFE II,BOM JESUS DO ARAGUAIA,"19.650,27",266,366,3,1,124,29/11/1995,Desapropriação,24/03/1995,Bom Jesus Do Araguaia
MT0123000,PA CACHOEIRA DA UNIÃO,GUARANTA DO NORTE,"13.272,45",143,219,3,1,129,29/12/1995,Arrecadação,05/05/1980,Guarantã Do Norte
MT0124000,PA VEREDA,ARAPUTANGA,"3.586,56",108,115,7,1,123,29/12/1995,Desapropriação,11/11/1994,Araputanga
MT0125000,PA YAMIN,SAO JOSE DO XINGU,"8.002,98",96,99,7,1,127,29/12/1995,Desapropriação,29/12/1995,São José Do Xingu
MT0126000,PA SÃO JOSÉ,GUARANTA DO NORTE,"6.914,37",110,132,7,1,130,29/12/1995,Arrecadação,29/12/1995,Guarantã Do Norte
MT0127000,PA TAPURAH/ITANHANGA,Itanhangá,"115.035,00",1273,1169,7,1,128,29/12/1995,Desapropriação,29/01/1995,Itanhangá
MT0128000,PA SÃO CRISTÓVÃO,GUARANTA DO NORTE,"2.876,63",39,41,3,1,131,29/12/1995,Arrecadação,01/01/1987,Guarantã Do Norte
MT0129000,PA CASTANHAL,NOVO MUNDO,"2.124,35",22,37,3,1,136,29/12/1995,Arrecadação,03/03/1980,Novo Mundo
MT0130000,PA ALVORADA,VILA RICA,"2.987,85",45,43,6,1,126,29/12/1995,Desapropriação,24/03/1995,Vila Rica
MT0131000,PA INDEPENDENTE I,CONFRESA,"15.149,09",279,294,6,1,137,29/12/1995,Desapropriação,29/12/1995,Confresa
MT0132000,PA CACHIMBO,PEIXOTO DE AZEVEDO,"52.283,07",934,980,3,1,122,29/12/1995,Desapropriação,24/03/1995,Peixoto De Azevedo
MT0133000,PA QUILOMBO,CHAPADA DOS GUIMARAES,"6.472,98",102,145,3,1,6,08/02/1996,Arrecadação,17/01/1984,Chapada Dos Guimarães
MT0134000,PA TAPAYUNA,NOVA CANAA DO NORTE,"2.748,63",46,45,5,1,138,29/12/1995,Arrecadação,05/12/1984,Nova Canaã Do Norte
MT0136000,PA MACUCO,COMODORO,"6.162,00",232,250,6,1,9,19/03/1996,Desapropriação,21/03/1995,Comodoro
MT0137000,PA SANTA HELENA,VILA BELA DA SANTISSIMA TRINDADE,"16.447,50",181,183,4,1,8,19/03/1996,Desapropriação,24/03/1995,Vila Bela Da Santíssima Trindade
MT0138000,PA RIO ALEGRE,PONTES E LACERDA,"12.506,79",359,392,3,1,35,10/05/1996,Desapropriação,25/03/1995,Pontes E Lacerda
MT0139000,PA PIRATININGA,SORRISO,"29.844,79",300,305,6,1,36,10/05/1996,Desapropriação,10/05/1996,Sorriso
MT0140000,PA HORIZONTE II,GUARANTA DO NORTE,"8.273,18",71,115,3,1,39,24/05/1996,Arrecadação,24/05/1996,Guarantã Do Norte
MT0141000,PA FORQUILHA DO RIO MANSO,ROSARIO OESTE,"17.171,30",357,368,6,1,37,10/05/1996,Desapropriação,24/03/1995,Rosário Oeste
MT0142000,PA COLONIA BOM JESUS,VILA RICA,"4.536,25",60,60,6,1,57,25/07/1996,Desapropriação,24/03/1995,Vila Rica
MT0143000,PA ITAPORÃ DO NORTE,VILA RICA,"10.641,35",165,300,3,1,53,11/07/1996,Desapropriação,24/03/1995,Vila Rica
MT0144000,PE PONTAL DO PIRANHA,PARANATINGA,"11.900,00",116,119,3,3,73,24/09/1996,Reconhecimento,24/09/1996,Paranatinga
MT0145000,PA IRACEMA,JUINA,"18.117,54",346,353,3,1,61,14/08/1996,Desapropriação,10/11/1995,Juína
MT0146000,PA GERALDO PEREIRA DE ANDRADE (MARIA IZABEL),JUSCIMEIRA,"3.925,00",136,136,3,1,89,06/11/1996,Compra e Venda,07/08/1996,Juscimeira
MT0147000,PA MORRINHO DO TARUMÃ,VILA BELA DA SANTISSIMA TRINDADE,363,34,33,6,1,74,24/09/1996,Arrecadação,24/10/1983,Vila Bela Da Santíssima Trindade
MT0148000,PA VALE DO BACURI,RONDONOPOLIS,"639,3212",30,30,3,1,96,02/12/1996,Compra e Venda,11/10/1995,Rondonópolis
MT0149000,PA PARAISO,DOM AQUINO,"1.221,00",47,47,6,1,100,02/12/1996,Compra e Venda,22/11/1996,Dom Aquino
MT0150000,PA RONDON,NOVA CANAA DO NORTE,"10.762,24",185,194,6,1,80,31/10/1996,Arrecadação,05/12/1984,Nova Canaã Do Norte
MT0151000,PA SANTA LUZIA,RONDONOPOLIS,826,26,27,6,1,2,09/01/1997,Compra e Venda,26/12/1995,Rondonópolis
MT0152000,PA SANTO IDELFONSO,CAMPINAPOLIS,"18.711,45",507,517,3,1,79,31/10/1996,Compra e Venda,09/08/1996,Campinápolis
MT0153000,PA TERRA FORTE,CAMPO VERDE,"2.099,80",70,71,6,1,3,09/01/1997,Desapropriação,09/01/1997,Campo Verde
MT0154000,PA PRIMAVERA,RONDONOPOLIS,"1.154,70",47,50,6,1,33,04/04/1997,Compra e Venda,30/09/1996,Rondonópolis
MT0155000,PA SÃO FRANCISCO,RONDONOPOLIS,"1.332,20",57,58,6,1,4,10/01/1997,Desapropriação,18/10/1996,Rondonópolis
MT0156000,PA 28 DE OUTUBRO,CAMPO VERDE,"2.373,80",69,70,6,1,111,30/12/1996,Desapropriação,18/10/1996,Campo Verde
MT0157000,PA ALTO PARAISO,TERRA NOVA DO NORTE,"1.569,00",46,46,5,1,78,31/10/1996,Arrecadação,16/01/1979,Terra Nova Do Norte
MT0158000,PA CARIMÃ,RONDONOPOLIS,"5.922,98",195,196,5,1,11,21/01/1997,Compra e Venda,18/10/1996,Rondonópolis
MT0159000,PA ARACATY,VILA RICA,"2.113,75",44,45,6,1,102,05/12/1996,Desapropriação,24/06/1996,Vila Rica
MT0160000,PA DOM PEDRO,SAO FELIX DO ARAGUAIA,"30.337,37",453,446,6,1,65,14/10/1997,Desapropriação,24/07/1996,São Félix Do Araguaia
MT0162000,PA LARANJEIRA I,CACERES,"1.994,00",129,129,3,1,15,24/02/1997,Desapropriação,23/09/1996,Cáceres
MT0163000,PA LARANJEIRA II,CACERES,"1.262,54",33,33,6,1,22,03/03/1997,Desapropriação,23/09/1996,Cáceres
MT0164000,PA AERORANCHO,VALE DE SÃO DOMINGOS,"7.327,67",122,155,3,1,110,24/12/1996,Desapropriação,23/03/1996,Vale De São Domingos
MT0165000,PA MARGARIDA ALVES,MIRASSOL D'OESTE,"3.888,44",144,146,6,1,43,09/05/1997,Desapropriação,22/08/1996,Mirassol D'oeste
MT0166000,PA PAIOL,CACERES,"16.067,41",262,449,6,1,14,24/02/1997,Desapropriação,22/08/1996,Cáceres
MT0167000,PA MERCEDES BENS I E II,TABAPORA,"63.249,07",1008,1063,3,1,105,27/11/1997,Desapropriação,06/09/1996,Tabaporã
MT0168000,PA SANTA HELENA II,MIRASSOL D'OESTE,"1.215,68",53,54,6,1,112,30/12/1996,Compra e Venda,18/10/1996,Mirassol D'oeste
MT0169000,PA CANCELA,RIBEIRAO CASCALHEIRA,"14.616,62",173,186,3,1,95,02/12/1996,Desapropriação,09/05/1996,Ribeirão Cascalheira
MT0170000,PA NOIDORINHO/VITÓRIA,CAMPINAPOLIS,"17.443,00",165,200,3,1,98,02/12/1996,Desapropriação,02/12/1995,Campinápolis
MT0171000,PA XAVANTINHO,SAO FELIX DO ARAGUAIA,"1.200,00",11,20,4,1,99,02/12/1996,Arrecadação,02/08/1984,São Félix Do Araguaia
MT0172000,PA MARGARIDA UNIÃO,CONFRESA,"20.591,98",205,244,6,1,64,14/10/1997,Desapropriação,14/10/1997,Confresa
MT0173000,PA BOCAINA,VILA BELA DA SANTISSIMA TRINDADE,300,18,18,6,1,1,08/01/1997,Arrecadação,13/02/1979,Vila Bela Da Santíssima Trindade
MT0174000,PA SÃO JOSÉ UNIÃO,PEIXOTO DE AZEVEDO,"60.505,86",1006,1231,3,1,101,05/12/1996,Desapropriação,05/12/1996,Peixoto De Azevedo
MT0175000,PE JACAMINHO,ALTA FLORESTA,"2.480,00",93,93,4,3,99,19/11/1997,Reconhecimento,19/11/1997,Alta Floresta
MT0176000,PA SÃO SEBASTIÃO,VILA BELA DA SANTISSIMA TRINDADE,500,14,14,4,1,50,17/06/1997,Arrecadação,13/02/1979,Vila Bela Da Santíssima Trindade
MT0179000,PA SANTA MARIA,AGUA BOA,"13.597,89",212,213,3,1,46,30/05/1997,Desapropriação,02/07/1996,Água Boa
MT0180000,PA TATUIBY,CANABRAVA DO NORTE,"12.642,44",151,152,6,1,67,24/10/1997,Desapropriação,10/06/1996,Canabrava Do Norte
MT0181000,PA ANTONIO CONSELHEIRO,TANGARA DA SERRA,"38.337,83",877,999,3,1,109,12/12/1997,Desapropriação,05/05/1997,Tangará Da Serra
MT0183000,PA NOVA ESPERANÇA,CACERES,"1.695,29",50,51,3,1,110,15/12/1997,Desapropriação,09/07/1997,Cáceres
MT0184000,PA LAGO DE PEDRA,SAO FELIX DO ARAGUAIA,"6.218,90",44,50,3,1,108,04/12/1997,Desapropriação,06/09/1996,São Félix Do Araguaia
MT0185000,PA MÁRCIO PEREIRA,SAO JOSE DO POVO,"2.288,60",95,95,3,1,47,30/05/1997,Desapropriação,05/11/1996,São José Do Povo
MT0186000,PA FURNAS DO BURITI,POCONE,"1.061,60",28,28,3,1,48,30/05/1997,Desapropriação,25/11/1996,Poconé
MT0187000,PA SERINGAL,VILA BELA DA SANTISSIMA TRINDADE,"6.422,86",233,240,3,1,68,24/10/1997,Desapropriação,18/07/1996,Vila Bela Da Santíssima Trindade
MT0188000,PA RIO BORGES,TAPURAH,"7.459,59",102,106,6,1,69,24/10/1997,Desapropriação,24/11/1996,Tapurah
MT0189000,PA BONANZA,TAPURAH,"7.459,59",51,101,3,1,95,13/11/1997,Desapropriação,25/11/1996,Tapurah
MT0190000,PA SANTA IRENE,IPIRANGA DO NORTE,"2.846,00",47,50,3,1,97,13/11/1997,Desapropriação,03/12/1996,Ipiranga Do Norte
MT0191000,PA CAMPINAS,SAO JOSE DO RIO CLARO,"15.430,28",288,300,3,1,91,06/11/1997,Desapropriação,16/01/1997,São José Do Rio Claro
MT0192000,PA PADOVANI,MATUPA,"31.278,61",421,458,6,1,94,13/11/1997,Desapropriação,23/10/1996,Matupá
MT0193000,PA SANTA ROSA,NOVA BRASILANDIA,"6.087,00",135,145,3,1,89,06/11/1997,Desapropriação,26/09/1996,Nova Brasilândia
MT0194000,PA BOA VISTA,PARANATINGA,"14.907,80",247,260,3,1,90,06/11/1997,Desapropriação,07/02/1997,Paranatinga
MT0195000,PA SÃO BENEDITO,ARAPUTANGA,"1.233,51",50,58,6,1,31,05/05/1998,Desapropriação,29/04/1997,Araputanga
MT0196000,PA SANTA ROSA I,SAO JOSE DOS QUATRO MARCOS,"1.887,03",73,73,6,1,117,31/12/1997,Desapropriação,25/04/1997,São José Dos Quatro Marcos
MT0197000,PA JATOBÁ,CACERES,"911,6195",29,29,3,1,71,24/10/1997,Desapropriação,05/11/1996,Cáceres
MT0198000,PA RANCHO DA SAUDADE,CACERES,"8.206,71",45,46,3,1,114,27/12/1997,Desapropriação,05/12/1996,Cáceres
MT0199000,PA JURUENA,COTRIGUACU,"30.072,00",477,524,4,1,102,26/11/1997,Desapropriação,19/08/2002,Cotriguaçu
MT0200000,PA ENA,FELIZ NATAL,"30.000,00",379,388,3,1,104,26/11/1997,Desapropriação,25/11/1996,Feliz Natal
MT0201000,PA CALIFORNIA,VERA,"7.472,15",231,232,6,1,41,04/06/1998,Desapropriação,19/08/2002,Vera
MT0202000,PA VERANEIO,COLIDER,"14.147,57",523,523,6,1,112,15/12/1997,Desapropriação,01/09/1997,Colíder
MT0203000,PA SÃO PEDRO,PARANAITA,"35.020,03",776,776,6,1,116,29/12/1997,Desapropriação,16/01/1997,Paranaíta
MT0204000,PE NOVA FLORESTA,PORTO ALEGRE DO NORTE,"10.326,00",124,140,3,3,66,15/10/1997,Reconhecimento,10/10/1990,Porto Alegre Do Norte
MT0205000,PE VALE DA SERRA,ACORIZAL,"2.870,00",79,87,4,3,62,14/10/1997,Reconhecimento,14/10/1997,Acorizal
MT0206000,PE TARUMÃ,GUIRATINGA,"505,69",0,20,4,3,63,14/10/1997,Reconhecimento,14/10/1997,Guiratinga
MT0207000,PA RITINHA,VILA BELA DA SANTISSIMA TRINDADE,"6.910,86",132,132,6,1,100,20/11/1997,Desapropriação,23/10/1996,Vila Bela Da Santíssima Trindade
MT0209000,PA MOGIANA I,IPIRANGA DO NORTE,"2.646,96",38,38,6,1,118,31/12/1997,Desapropriação,24/07/1997,Ipiranga Do Norte
MT0210000,PA FURNAS III,IPIRANGA DO NORTE,"3.180,31",46,45,3,1,5,23/01/1998,Desapropriação,23/01/1998,Ipiranga Do Norte
