Código,Nome,Município,Área,Total de Famílias,Total Famílias 2,Fase,Tipo,Número,Data da Criação,Obtenção,Data da Obtenção,Município IBGE
MT0684000,PE CARDEAL,ROSARIO OESTE,"718,7999",31,40,3,3,111,02/12/2003,Reconhecimento,13/10/2003,Rosário Oeste
MT0685000,PE ACORIZAL,BARAO DE MELGACO,"2.122,82",224,250,3,3,112,02/12/2003,Reconhecimento,02/12/2003,Barão De Melgaço
MT0686000,PE BELGA,ROSARIO OESTE,"15.664,89",146,200,4,3,113,02/12/2003,Reconhecimento,02/12/2003,Rosário Oeste
MT0687000,PE PAVÃO,ROSARIO OESTE,"497,0678",22,30,3,3,114,02/12/2003,Reconhecimento,02/12/2003,Rosário Oeste
MT0688000,PE CURIO,ROSARIO OESTE,"2.933,98",12,17,3,3,115,02/12/2003,Reconhecimento,13/10/2003,Rosário Oeste
MT0689000,PA CABAÇAS,BARRA DO BUGRES,"7.029,45",159,203,3,1,118,12/12/2003,Desapropriação,25/02/2003,Barra Do Bugres
MT0690000,PE RENASCER -I,PONTES E LACERDA,"91,581",48,48,4,3,119,15/12/2003,Reconhecimento,15/12/2003,Pontes E Lacerda
MT0691000,PE CHAPADÃO,ROSARIO OESTE,"3.154,11",120,175,3,3,120,15/12/2003,Reconhecimento,10/12/2003,Rosário Oeste
MT0692000,PE CARRAPATINHO E LIMOEIRO,NOSSA SENHORA DO LIVRAMENTO,"1.805,11",53,53,3,3,121,18/12/2003,Reconhecimento,18/12/2003,Nossa Senhora Do Livramento
MT0693000,PE CASCAVEL,NOSSA SENHORA DO LIVRAMENTO,"46.313,34",144,150,4,3,122,18/12/2003,Reconhecimento,18/12/2003,Nossa Senhora Do Livramento
MT0694000,PE PEDRA BRANCA,NOSSA SENHORA DO LIVRAMENTO,"857,0041",22,29,4,3,124,18/12/2003,Reconhecimento,18/12/2003,Nossa Senhora Do Livramento
MT0695000,PE BRUMADO DO LIVRAMENTO,NOSSA SENHORA DO LIVRAMENTO,"685,9187",35,35,4,3,123,18/12/2003,Reconhecimento,10/12/2003,Nossa Senhora Do Livramento
